simulation,annual_point_wh,annual_q10_wh,annual_point_kwh,annual_q10_kwh
324,20111673.4876709,12834403.89654541,20111.673487670898,12834.403896545411
325,19849564.813720703,12407520.429912567,19849.564813720703,12407.520429912567
326,20035921.23840332,12651726.24545288,20035.92123840332,12651.72624545288
327,19955069.009887695,12378024.131187439,19955.069009887695,12378.02413118744
328,19667552.555847168,12420288.970993042,19667.552555847167,12420.288970993042
329,19717387.88720703,12661895.080287933,19717.38788720703,12661.895080287934
330,19073383.08654785,12028884.022994995,19073.383086547852,12028.884022994995
331,20740906.75128174,13030164.537483215,20740.90675128174,13030.164537483215
332,19496257.58239746,12395268.35671997,19496.257582397462,12395.268356719971
333,20364215.545776367,12934914.179290771,20364.215545776366,12934.914179290772
334,19540647.935058594,12520758.54927063,19540.647935058594,12520.75854927063
335,18585672.434448242,11723638.355407715,18585.672434448243,11723.638355407715
336,19239758.84020996,12097903.300183535,19239.75884020996,12097.903300183534
337,18904439.95751953,11676096.154815674,18904.43995751953,11676.096154815674
338,19075180.298706055,11962228.345466614,19075.180298706055,11962.228345466614
339,19405249.60723877,12409286.935943604,19405.24960723877,12409.286935943603
340,20470786.885986328,13143516.882611513,20470.786885986327,13143.516882611513
341,19521711.4765625,12468096.811824799,19521.7114765625,12468.096811824798
342,19288401.369873047,12080603.870422363,19288.40136987305,12080.603870422363
343,19238790.844970703,12154073.909069061,19238.790844970703,12154.07390906906
344,19085180.999023438,12033479.633789062,19085.180999023436,12033.479633789062
345,18894249.6953125,11906541.587341309,18894.2496953125,11906.54158734131
346,18440009.66357422,11648120.305465698,18440.00966357422,11648.120305465698
347,19515901.784423828,12393159.061389923,19515.90178442383,12393.159061389922
348,19919414.29333496,12879386.173751831,19919.41429333496,12879.386173751831
349,19745847.570251465,12647466.079345703,19745.847570251466,12647.466079345702
350,18940779.272521973,11723806.604743958,18940.779272521973,11723.806604743957
351,19699909.354614258,12573118.95123291,19699.909354614258,12573.118951232911
352,20009109.70324707,12550270.392974854,20009.10970324707,12550.270392974853
353,19458620.86657715,12164632.687911987,19458.62086657715,12164.632687911988
354,19003793.860290527,11836389.801124573,19003.793860290527,11836.389801124573
355,20377782.9810791,13202402.587387085,20377.7829810791,13202.402587387085
356,19590423.224243164,12375575.298614502,19590.423224243164,12375.575298614502
357,19157719.837768555,12011607.001247406,19157.719837768556,12011.607001247407
358,19548076.37072754,12310459.149307251,19548.07637072754,12310.459149307251
359,18868371.7265625,11638549.244464874,18868.3717265625,11638.549244464873
360,19072250.569152832,12050494.269073486,19072.25056915283,12050.494269073486
361,20196194.028198242,13192390.319058657,20196.194028198242,13192.390319058657
362,18686454.952148438,11567742.178771973,18686.454952148437,11567.742178771972
363,19551365.170043945,12286222.92528534,19551.365170043944,12286.22292528534
364,19367585.513793945,12439506.835136414,19367.585513793947,12439.506835136413
365,20769237.377441406,13517236.038955688,20769.237377441405,13517.236038955689
366,18884210.869628906,11903487.267303467,18884.210869628907,11903.487267303466
367,19355816.333129883,12372253.91655469,19355.816333129882,12372.25391655469
368,19570207.892822266,12522232.585472107,19570.207892822265,12522.232585472108
369,19920554.162475586,12548826.108688354,19920.554162475586,12548.826108688354
370,19795446.060424805,12435099.422302246,19795.446060424805,12435.099422302246
371,19302194.338623047,12059030.804878235,19302.19433862305,12059.030804878235
372,20214645.818359375,12717127.541543245,20214.645818359375,12717.127541543245
373,19315535.459228516,11967379.98361206,19315.535459228515,11967.37998361206
374,19835365.290405273,12728940.248054504,19835.365290405272,12728.940248054505
375,18793439.729736328,11813825.04763794,18793.43972973633,11813.82504763794
376,19201032.697753906,12263092.370404482,19201.032697753908,12263.092370404482
377,19170890.815673828,12097778.234418154,19170.89081567383,12097.778234418154
378,19533518.06225586,12433159.337127686,19533.51806225586,12433.159337127685
379,20394726.492919922,13054593.441555023,20394.726492919923,13054.593441555024
380,20163766.075805664,12927231.200481415,20163.766075805663,12927.231200481414
381,20325169.887573242,12804544.625789642,20325.169887573244,12804.544625789642
382,20093087.6852417,12940245.690711975,20093.0876852417,12940.245690711976
383,19556890.8548584,12803629.646156311,19556.890854858397,12803.62964615631
384,19407494.780517578,12328981.069091797,19407.49478051758,12328.981069091797
385,19285335.951538086,12184303.49736023,19285.335951538087,12184.30349736023
386,19204389.28881836,12112116.62395978,19204.38928881836,12112.11662395978
387,19566064.168701172,12142292.64855957,19566.06416870117,12142.29264855957
388,18753907.256958008,11890098.840356112,18753.90725695801,11890.098840356111
389,18528951.920715332,11290246.227279663,18528.95192071533,11290.246227279664
390,20350323.10534668,13002376.954589844,20350.32310534668,13002.376954589843
391,18948235.77001953,11976912.134862185,18948.23577001953,11976.912134862185
392,19156735.32043457,11972574.961585999,19156.73532043457,11972.574961585999
393,19395269.64086914,12320556.616451263,19395.26964086914,12320.556616451264
394,19343527.44958496,12310687.858642578,19343.527449584963,12310.687858642577
395,19941624.677978516,12545675.785102844,19941.624677978514,12545.675785102845
396,19608067.747436523,12435405.572238922,19608.067747436522,12435.405572238922
397,18809540.1607666,11643109.493530273,18809.540160766603,11643.109493530274
398,18947898.942749023,12083008.180774689,18947.898942749023,12083.008180774688
399,20165727.862731934,13112519.257720947,20165.727862731932,13112.519257720947
400,19656488.102294922,12347660.810638428,19656.488102294923,12347.660810638428
401,19894758.15234375,12872488.224622011,19894.75815234375,12872.488224622011
402,18925251.05895996,11656717.272336245,18925.251058959962,11656.717272336244
403,20267181.760131836,13024119.659667969,20267.181760131836,13024.11965966797
404,19115393.56225586,11995565.608764648,19115.39356225586,11995.565608764648
